date,sales
2022-01-01,96
2022-01-02,98
2022-01-03,93
2022-01-04,39
2022-01-05,86
2022-01-06,27
2022-01-07,89
2022-01-08,35
2022-01-09,33
2022-01-10,85
2022-01-11,98
2022-01-12,97
2022-01-13,95
2022-01-14,66
2022-01-15,56
2022-01-16,96
2022-01-17,91
2022-01-18,77
2022-01-19,68
2022-01-20,98
2022-01-21,31
2022-01-22,48
2022-01-23,71
2022-01-24,62
2022-01-25,96
2022-01-26,34
2022-01-27,55
2022-01-28,23
2022-01-29,51
2022-01-30,72
2022-01-31,73
2022-02-01,75
2022-02-02,26
2022-02-03,24
2022-02-04,77
2022-02-05,70
2022-02-06,48
2022-02-07,73
2022-02-08,24
2022-02-09,97
2022-02-10,77
2022-02-11,94
2022-02-12,56
2022-02-13,75
2022-02-14,62
2022-02-15,57
2022-02-16,99
2022-02-17,29
2022-02-18,32
2022-02-19,94
2022-02-20,37
2022-02-21,22
2022-02-22,27
2022-02-23,76
2022-02-24,56
2022-02-25,62
2022-02-26,67
2022-02-27,41
2022-02-28,51
2022-03-01,36
2022-03-02,80
2022-03-03,42
2022-03-04,35
2022-03-05,22
2022-03-06,78
2022-03-07,29
2022-03-08,94
2022-03-09,67
2022-03-10,72
2022-03-11,61
2022-03-12,42
2022-03-13,49
2022-03-14,53
2022-03-15,77
2022-03-16,27
2022-03-17,70
2022-03-18,91
2022-03-19,59
2022-03-20,68
2022-03-21,95
2022-03-22,43
2022-03-23,23
2022-03-24,53
2022-03-25,43
2022-03-26,44
2022-03-27,47
2022-03-28,99
2022-03-29,68
2022-03-30,57
2022-03-31,31
2022-04-01,67
2022-04-02,31
2022-04-03,43
2022-04-04,24
2022-04-05,97
2022-04-06,34
2022-04-07,82
2022-04-08,91
2022-04-09,57
2022-04-10,29
2022-04-11,73
2022-04-12,38
2022-04-13,58
2022-04-14,50
2022-04-15,20
2022-04-16,54
2022-04-17,85
2022-04-18,47
2022-04-19,80
2022-04-20,23
2022-04-21,85
2022-04-22,61
2022-04-23,31
2022-04-24,41
2022-04-25,53
2022-04-26,74
2022-04-27,89
2022-04-28,92
2022-04-29,36
2022-04-30,78
2022-05-01,96
2022-05-02,97
2022-05-03,77
2022-05-04,99
2022-05-05,31
2022-05-06,79
2022-05-07,79
2022-05-08,84
2022-05-09,41
2022-05-10,64
2022-05-11,45
2022-05-12,38
2022-05-13,27
2022-05-14,60
2022-05-15,46
2022-05-16,79
2022-05-17,89
2022-05-18,53
2022-05-19,35
2022-05-20,97
2022-05-21,55
2022-05-22,60
2022-05-23,30
2022-05-24,57
2022-05-25,97
2022-05-26,21
2022-05-27,36
2022-05-28,67
2022-05-29,42
2022-05-30,74
2022-05-31,79
2022-06-01,65
2022-06-02,80
2022-06-03,44
2022-06-04,39
2022-06-05,99
2022-06-06,85
2022-06-07,42
2022-06-08,96
2022-06-09,66
2022-06-10,68
2022-06-11,86
2022-06-12,91
2022-06-13,41
2022-06-14,38
2022-06-15,78
2022-06-16,69
2022-06-17,73
2022-06-18,46
2022-06-19,47
2022-06-20,26
2022-06-21,60
2022-06-22,90
2022-06-23,22
2022-06-24,81
2022-06-25,48
2022-06-26,26
2022-06-27,87
2022-06-28,32
2022-06-29,49
2022-06-30,57
2022-07-01,92
2022-07-02,79
2022-07-03,49
2022-07-04,92
2022-07-05,34
2022-07-06,74
2022-07-07,40
2022-07-08,62
2022-07-09,76
2022-07-10,74
2022-07-11,32
2022-07-12,27
2022-07-13,79
2022-07-14,35
2022-07-15,24
2022-07-16,90
2022-07-17,96
2022-07-18,28
2022-07-19,92
2022-07-20,90
2022-07-21,26
2022-07-22,90
2022-07-23,90
2022-07-24,57
2022-07-25,52
2022-07-26,96
2022-07-27,22
2022-07-28,51
2022-07-29,24
2022-07-30,64
2022-07-31,31
2022-08-01,99
